identifier	date	year	creator	title	language	collection
iqvattrolibridel00pall_0	1771-01-01T00:00:00Z	1771	Palladio, Andrea, 1508-1580; Smith, Joseph, 1674-1770	I qvattro libri dell'architettvra di Andrea Palladio : ne' quali, dopo un breue trattato de' cinque ordini, & di quelli auertimenti, che sono piu necessarii nel fabricare; si tratt	ita	getty; americana; fav-19omhs72; fav-alex_fabricator; fav-angela_bonn; fav-aurexgo; fav-dat_quoc833; fav-gretc; fav-helgiklimov; fav-magnum_opus_1; fav-pere432
bollack-killian-slides-000957	1988-09-01T00:00:00Z	1988	Françoise Astorg Bollack	Nymphaeum at Villa barbaro (Maser, 1988)	eng	bollack-killian-slides; patron-library-collection
bollack-killian-slides-000950	1988-09-01T00:00:00Z	1988	Françoise Astorg Bollack	Villa Barbaro and out building (Maser, 1988)	eng	bollack-killian-slides; patron-library-collection
bollack-killian-slides-000867	1988-09-01T00:00:00Z	1988	Françoise Astorg Bollack	San Giorgio Maggiore seen from Venice waterfront (Riva San Biagio) (Venice, 1988)	eng	bollack-killian-slides; patron-library-collection
palladioguide0000cons	1985-01-01T00:00:00Z	1985	Constant, Caroline	The Palladio guide	eng	internetarchivebooks; inlibrary; printdisabled; fav-btwritr; fav-esther0964; fav-fleur02; fav-greatscreenname_org; fav-rafa_cerq; fav-rundmc96; americanuniversity-ol; binghamton-ol
studiesinarchite00blom	1905-01-01T00:00:00Z	1905	Blomfield, Reginald Theodore, Sir, 1856-1942	Studies in architecture	eng	brigham_young_university; americana; fav-merts; fav-tarunpal; fav-weareyoung5833; fav-zed22
lefabbricheeidis02bert_202401	1790-01-01T00:00:00Z	1790	Bertotti Scamozzi, Ottavio, 1719-1790	Le Fabbriche e i disegni di Andrea Palladio : opera divisa in quattro tomi con tavole in rame ; rappresentanti le piante, i prospetti e gli spaccati. 2	ita	booksbylanguage_italian; booksbylanguage; fav-artursz; fav-elisa_argelli; fav-vh970
bim_early-english-books-1641-1700_a-continuation-of-the-ne_papin-denys_1687	1687-01-01T00:00:00Z	1687	Papin, Denys.	A continuation of the new digester of bones: ... 1687	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm
bim_early-english-books-1641-1700_antichrist-in-spirit-unm_paye-edward_1692	1692-01-01T00:00:00Z	1692	Paye, Edward.	Antichrist in spirit unmasked, or, Quakerism a great delusion, ... 1692	Middle English	pub_early-english-books-1641-1700; bim_microfilm; microfilm
ideadiunteatrone00arna	1762-01-01T00:00:00Z	1762	Arnaldi, Enea, conte, 1716-1794	Idea di un teatro nelle principali sue parti simile a' teatri antichi all'uso moderno : accomodato con due discorsi ... opera dell' insigne Andrea Palladio	ita	getty; americana; fav-rafa_cerq
thingiverse-3245618	2018-11-28T00:00:00Z	2018	mauro noto (mauro1099)	Villa Almerico Capra (3245618)		thingiverse
SSID19249536_0110280602_1024.jpg	2001-10-28T00:00:00Z	2001	Timothy Moore Project Collection	Interior of Palladio’s Teatro Olympico		imagesofancientmusic; WashUDepartmentofClassics
firstbookofarchi0000pall	1663-01-01T00:00:00Z	1663	Palladio, Andrea, 1508-1580	The first book of architecture	English	oberlinartlibrary; oberlincollegelibrary; americana; globallibraries; fav-abbykc11; fav-albert_speer; fav-andy_kofod613; fav-ava_martin474; fav-cloudio23; fav-devilsapricot; fav-fe
andreapalladioh00flet	1902-01-01T00:00:00Z	1902	Fletcher, Banister, Sir, 1866-1953	Andrea Palladio, his life and works	eng	smithsonian; fav-baltimoretool; fav-gangstarr4life; fav-lalala339; fav-lmilanovic; fav-luka_pajovic501; fav-padriac_jordan; fav-paula254; fav-rafa_cerq; fav-valkyx
andreapalladiosf00pall	1728-01-01T00:00:00Z	1728	Palladio, Andrea, 1508-1580	Andrea Palladio's first book of architecture : with all the plates, exactly copyed from the first Italian edition, printed in Venice, anno 1570	eng	getty; americana; fav-1919189246; fav-aurexgo; fav-barry_mccockiner; fav-belle_design; fav-bkbuckland; fav-cascadiarising; fav-ibikeboy; fav-inthefunhouse; fav-ksuayan; fav-lpc497;
india.history.resource.93773	1786-01-01T00:00:00Z	1786	Palladio, Andrea; Scamozzi, Ottavio Bertotti (Illus.)	Le Fabbriche el Disegni di Andrea Palladio, 2nd ed., Vol. IV	ita	IndiaHistory; JaiGyan
cinqueordinidiar00pall	1784-01-01T00:00:00Z	1784	Palladio, Andrea, 1508-1580; Costa, Giovanni Francesco, 1711-1773	I cinque ordini di architettura di Andrea Palladio : esposti per un' esatta istruzione di chi ama e coltiva questa billa utilissima arte	ita	getty; americana; fav-19omhs72; fav-l_p_; fav-nenarok; fav-tomcec; fav-vintagemenswag
andreapalladio00gurl	1922-01-01T00:00:00Z	1922	Gurlitt, Cornelius, 1850-1938; Vinaccia, Gaetano; Palladio, Andrea, 1508-1580	Andrea Palladio	ita	university_maryland_cp; americana; fav-ahaseebf; fav-albertobeato; fav-edaglas; fav-egriffinj; fav-emiliano_jim_nez; fav-emily_software_hudson; fav-firstcaucasoid; fav-fxbowman; fa
gri_33125008638575	1740-01-01T00:00:00Z	1740	Palladio, Andrea, 1508-1580; Muttoni, Francesco, 1669-1747; Fossati, Giorgio, 1706-1778; Fontebasso, Francesco, 1707-1769; Zucchi, Francesco, 1692-1764; Ticciati, Girolamo, 1676-17	Architettura di Andrea Palladio, Vicentino : di nuovo ristampata, e di figure in rame diligentemente intagliate arricchita, corretta, e accresciuta di moltissime fabbriche inedite 	ita; fre	getty; americana; fav-19omhs72; fav-alexanderkohr; fav-aurexgo; fav-duchampsmarcel; fav-helgiklimov; fav-iumberto72; fav-loispintoleite; fav-patricialopez; fav-user03680; fav-vinta
SSID19249535_0110280601_1024.jpg	2001-10-28T00:00:00Z	2001	Timothy Moore Project Collection	Interior of Palladio’s Teatro Olympico		imagesofancientmusic; WashUDepartmentofClassics
renaissancepeopl0000davi_m8c5	2011-01-01T00:00:00Z	2011	Davis, Robert C. (Robert Charles), 1948-	Renaissance people : lives that shaped the modern world	eng	internetarchivebooks; printdisabled; fav-ahelmtexas; fav-apeadero_de_aforistas; fav-bellebellica; fav-bookhunter222; fav-braden_shumate; fav-bw0891; fav-charliveo; fav-chonkyapple;
gri_33125010590327	1871-01-01T00:00:00Z	1871	Bertotti Scamozzi, Ottavio, 1719-1790	Le fabbriche e i disegni di Andrea Palladio e Le terme romane, figurate dal medesimo	ita	getty; americana; fav-helgiklimov; fav-javier_de_la_torre; fav-rafa_cerq; fav-vintagemenswag; fav-zed22
gri_33125010848451	1776-01-01T00:00:00Z	1776	Bertotti Scamozzi, Ottavio, 1719-1790	Le fabbriche e i disegni di Andrea Palladio;	ita; fre	getty; americana; fav-19omhs72; fav-eeupalino; fav-elleneichler; fav-helgiklimov; fav-rafa_cerq; fav-zed22
gri_33125006448050	1581-01-01T00:00:00Z	1581	Palladio, Andrea, 1508-1580	I quattro libri dell'architettura di Andrea Palladio : ne' quali, dopo vn breue trattato de' cinque ordini, & di quelli auertimenti, che sono piu necessarij nel fabricare : si trat	ita	getty; americana; fav-aaronwa; fav-adwait_naik; fav-anonymousfoxtrot; fav-antoniosg; fav-behrns; fav-catvlvs; fav-cuncemaille; fav-dat_quoc833; fav-david_mannock; fav-deavel; fav-d
bub_gb_uazHFPht8hIC	1796-01-01T00:00:00Z	1796		Le fabbriche e i disegni di Andrea Palladio raccolti ed illustrati da Ottavio Bertotti Scamozzi. Opera divisa in quattro tomi con tavole in rame rappresentanti le piante, i prospet	Italian	europeanlibraries; fav-o_uzhan_gen_
icinqueordinidel00pall	1801-01-01T00:00:00Z	1801	Palladio, Andrea, 1508-1580	I cinque ordini dell' architettura di Andrea Palladio : illustrati e ridottia metodo facile	ita	getty; americana; fav-a_lesilio; fav-antoniosg; fav-aurexgo; fav-aurexmagnus; fav-hannowald; fav-helgiklimov; fav-javier_de_la_torre; fav-magnum_opus_1; fav-mitiamak; fav-negrete58
bim_eighteenth-century_the-carpenters-and-join_pain-william_1787	1787-01-01T00:00:00Z	1787	Pain, William	The carpenter's and joiner's repository; or, a new system of lines and proportions for doors, windows, chimnies, ... &c. &c. ... By W. Pain, joiner. A new edition. Engraved on sixt	English	pub_eighteenth-century; bim_microfilm; microfilm
